K,Theta,DSMDV,dt,vinfLaunch,vinf1x,vinf1y,vinf2x,vinf2y,bendang,fb_radius,dvegaRA
2,-15,0.0513685998252516,695.219266441782,5.15010617287766,5.51338211387576,1.11511658581145,5.43335357961316,-1.4558627038501,26.4341858465597,42500.1636440316,360442441.52694
2,-16,0.0584990132451566,692.630240944346,5.15010617287766,5.56316446955424,1.18440228390499,5.46750980752018,-1.56778320889744,28.0188706535454,38574.6426299669,364844710.730294
2,-17,0.0661036806679185,690.052347925623,5.15010617287766,5.61608749753316,1.25271447112895,5.50267864052233,-1.68233769061491,29.5744445954372,35129.483517775,369579275.289931
2,-18,0.0741852979601949,687.485391167124,5.15010617287766,5.67213796903917,1.31999341047127,5.53867192101413,-1.79962359810964,31.1004365495085,32087.1769966732,374657077.860064
2,-19,0.082746736527441,684.929173973521,5.15010617287766,5.73130189766957,1.38617964654369,5.57529864350731,-1.91972927529598,32.5965225139058,29386.1756233733,380090324.330967
2,-20,0.0917910386892081,682.383501556833,5.15010617287766,5.79356451943314,1.45121389023598,5.61236573235436,-2.04273407039263,34.0625141920117,26976.9211012769,385892601.371898
2,-21,0.101321419157641,679.848180798014,5.15010617287766,5.85891029774581,1.51503704135768,5.64967880069502,-2.16870850108884,35.4983483607919,24819.0074890565,392079011.670065
2,-22,0.111341275513802,677.32301738592,5.15010617287766,5.92732296540941,1.577590351305,5.68704290598044,-2.29771448146588,36.9040771326207,22879.1188043891,398666331.273215
2,-23,0.121854180761128,674.807818916758,5.15010617287766,5.99878549264769,1.63881526848049,5.72426309500029,-2.42980552518567,38.2798554010804,21129.5097260187,405673174.206501
2,-24,0.132863889466842,672.302393463572,5.15010617287766,6.07328011099827,1.69865352435682,5.76114498607481,-2.56502700802195,39.6259305521004,19546.8639747932,413120187.62277
2,-25,0.144374334437027,669.806551006754,5.15010617287766,6.15078829818554,1.75704706670916,5.79749521448778,-2.70341641663261,40.9426312004069,18111.4282893493,421030266.10463
2,-26,0.156389640117696,667.320100334604,5.15010617287766,6.23129083156358,1.81393823519152,5.83312193570634,-2.84500366112236,42.2303583125789,16806.3439058174,429428807.083371
2,-27,0.168914111384438,664.842852619608,5.15010617287766,6.31476774041306,1.86926957922647,5.86783509349277,-2.98981131357109,43.4895739919143,15617.1288506113,438343984.285163
2,-28,0.181952244614004,662.37461903425,5.15010617287766,6.40119834958124,1.92298399495175,5.90144679327386,-3.1378549204321,44.7207934145372,14531.2679143289,447807077.34566
2,-29,0.195508722956912,659.915212419947,5.15010617287766,6.4905612582891,1.97502464460974,5.9337715161137,-3.28914326063444,45.9245757095276,13537.888043828,457852838.552611
2,-30,0.209588432333816,657.464444187601,5.15010617287766,6.58283440340663,2.02533513210283,5.96462642459718,-3.44367867185674,47.1015174063638,12627.4961327455,468519931.756857
2,-31,0.224196449371612,655.022127655466,5.15010617287766,6.67799500808879,2.07385933209584,5.99383144386375,-3.60145727170683,48.252244000998,11791.7685025384,479851418.303434
2,-32,0.239338046341774,652.588077333887,5.15010617287766,6.77601959984071,2.12054143674499,6.02120942187176,-3.76246922915534,49.3774038298797,11023.3776003625,491895335.544309
2,-33,0.255018703170341,650.162107017954,5.15010617287766,6.8768840569317,2.16532606667564,6.04658629689623,-3.92669905412843,50.4776629817679,10315.8490449781,504705377.58333
2,-34,0.271244095685279,647.744032648524,5.15010617287766,6.98056355838298,2.2081581247544,6.06979109404809,-4.09412578838974,51.5536990708793,9663.44410947269,518341672.532642
2,-35,0.288020116941075,645.333668735941,5.15010617287766,7.08703266764968,2.24898299661004,6.09065609334028,-4.26472330919977,52.6061979354113,9061.0601133513,532871726.006101
2,-36,0.305352863799887,642.930831459482,5.15010617287766,7.19626527572947,2.28774639103183,6.10901677381987,-4.43846049047824,53.6358484855933,8504.14804036688,548371504.839487
2,-37,0.323248645832846,640.53533747526,5.15010617287766,7.30823463439916,2.32439441151155,6.12471187114678,-4.61530143621532,54.6433396100991,7988.64196401701,564926744.796077
2,-38,0.341713988228489,638.147003916224,5.15010617287766,7.42291336505022,2.35887356329731,6.13758338447081,-4.79520567977349,55.6293571176989,7510.89924980386,582634505.543011
2,-39,0.360755642368777,635.765647200068,5.15010617287766,7.54027349791252,2.39113082436644,6.14747660868041,-4.97812840214918,56.5945814862476,7067.6492496096,601605044.200534
2,-40,0.380380574285261,633.391085413416,5.15010617287766,7.66028642284761,2.42111352355894,6.15424004412871,-5.16402055120485,57.5396848506195,6655.94973400024,621964053.054003
2,-41,0.400595981101604,631.023136166056,5.15010617287766,7.78292295173702,2.44876946242341,6.30026176888258,-5.18430932683697,56.9153393515912,6578,643440412.181983
2,-42,0.421409283397363,628.661618259867,5.15010617287766,7.90815328482189,2.47404683152696,6.48104422835554,-5.16293151329041,55.913706676723,6578,665223128.297516
2,-43,0.442828144753833,626.306349304636,5.15010617287766,8.03594708460786,2.4968943442936,6.66171725259343,-5.14124986357228,54.9203757305165,6578,687223596.425085
2,-44,0.464860458964596,623.957148102244,5.15010617287766,8.16627342164259,2.51726111447675,6.84224751654287,-5.11940172655416,53.9359696233618,6578,709370649.177609
2,-45,0.487512154822418,621.614123848398,5.15010617287766,8.29909218521716,2.53508121617671,7.02258250413069,-5.09753890068748,52.9611475856326,6578,731584839.561035
2,-46,0.510796156361089,619.276490238627,5.15010617287766,8.43438915152195,2.55033705084586,7.2027558133433,-5.07577069276949,51.9962263015389,6578,753787533.555665
